Method,quantity,LB_days,FH_hours,N_params,n_hidden,n_candidates,eps_robust,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
BLEND_opti,PAC,1.0,0.5,0,,,,625.7782418764419,0.337590075874335,-0.014660366543456472,0.21619789997791525,0.8831435745429352,0.9143553544755236,0.9415979088590608,0.9546118980035597,0.9368550537793814
ELM,PAC,1.0,0.5,27000,500.0,100.0,5.0,602.3938726632925,0.32497485462076625,0.0021912806530194912,0.20728402976490753,0.891713885345205,0.8766563529625763,0.906411845046639,0.924998916796015,0.9026890382684102
Persistence_P,PAC,1.0,0.5,0,,,,664.5917923019824,0.3585289141979878,-0.0006075209070508452,0.23644844306940913,0.8681981133891028,1.0,1.0,1.0,1.0
Persistence_Pcyclic,PAC,1.0,0.5,0,,,,1568.9555368444046,0.8464081735065201,-0.0059356409517053186,0.5100864982350504,0.2654303983308993,2.1572842333553246,2.3607807905811304,2.339525217406556,2.2858634137810037
BLEND_opti,PAC,1.0,1.0,0,,,,841.4103300286235,0.4539176311149173,-0.03653173405649968,0.2964775422486165,0.7887350948481997,0.7881342335415727,0.8519308487620288,0.8902741945470534,0.843446425616885
ELM,PAC,1.0,1.0,27000,500.0,100.0,5.0,763.4930497821832,0.4118834106993227,0.01299066854806953,0.27619167305334047,0.8260510322911234,0.7342077612405562,0.7730393349255863,0.8102774111415971,0.7725081691025798
Persistence_P,PAC,1.0,1.0,0,,,,987.6509710281146,0.5328104173883611,-0.004436929681149011,0.3761764552674742,0.7089157749593875,1.0,1.0,1.0,1.0
Persistence_Pcyclic,PAC,1.0,1.0,0,,,,1568.9555368444046,0.8464081735065201,-0.0059356409517053186,0.5100864982350504,0.2654303983308993,1.3559766728950688,1.588572869230483,1.6651800618402,1.5365765346552507
BLEND_opti,PAC,1.0,3.0,0,,,,1235.9243346861697,0.6667470391276771,-0.10603794274296853,0.4320263752235056,0.5441778276037088,0.5359250928510635,0.6214525058647037,0.6797277055204671,0.6123684347454114
ELM,PAC,1.0,3.0,27000,500.0,100.0,10.0,1100.1916644560617,0.5935230128269102,0.023228697886056953,0.41186631220238723,0.6387994688049576,0.5109167038588714,0.5532028520024979,0.5940605467800871,0.5527267008804855
Persistence_P,PAC,1.0,3.0,0,,,,1988.7671592320244,1.0728849474988431,-0.0771918195210478,0.8061320154374039,-0.18026508397149388,1.0,1.0,1.0,1.0
Persistence_Pcyclic,PAC,1.0,3.0,0,,,,1568.9555368444046,0.8464081735065201,-0.0059356409517053186,0.5100864982350504,0.2654303983308993,0.6327580203575955,0.7889086108251442,0.876849776253595,0.7661721358121115
BLEND_opti,PAC,1.0,6.0,0,,,,1446.2157602188672,0.7801934544080004,-0.15755231855117324,0.4936510595179956,0.37586597382062326,0.44664350864682173,0.5312667396666051,0.5924382957843954,0.523449514699274
ELM,PAC,1.0,6.0,27000,500.0,100.0,10.0,1257.4373107884055,0.6783526954906391,0.026600012440678368,0.4718507800888545,0.5281712881559391,0.4269191444304865,0.46191905717899306,0.4987406490432545,0.46252628355091135
Persistence_P,PAC,1.0,6.0,0,,,,2722.202713323322,1.4685531695389185,-0.378938799816497,1.105246242162101,-1.2113251482525897,1.0,1.0,1.0,1.0
Persistence_Pcyclic,PAC,1.0,6.0,0,,,,1568.9555368444046,0.8464081735065201,-0.0059356409517053186,0.5100864982350504,0.2654303983308993,0.4615138950730207,0.5763551440035819,0.647392721425301,0.5617539201673012
BLEND_opti,PAC,1.0,10.0,0,,,,1495.28009434979,0.8066623073874755,-0.1773193801138255,0.5092955700955046,0.33279885388045805,0.47602336777560805,0.5592542310199283,0.6168975061937978,0.5507250349964448
ELM,PAC,1.0,10.0,27000,500.0,100.0,10.0,1274.596946897684,0.6876098451779418,0.03824072573315579,0.48071105485617077,0.5152057863191621,0.4493062745797861,0.4767158595176632,0.5095072223247816,0.47850978547407697
Persistence_P,PAC,1.0,10.0,0,,,,2673.7036778833194,1.442389279588179,-0.8219928048252806,1.0698961533661109,-1.1332326730932802,1.0,1.0,1.0,1.0
Persistence_Pcyclic,PAC,1.0,10.0,0,,,,1568.9555368444046,0.8464081735065201,-0.0059356409517053186,0.5100864982350504,0.2654303983308993,0.47676262469980335,0.5868098061212578,0.652982230005302,0.5721848869421211
