Method,quantity,LB_days,FH_hours,N_params,n_hidden,n_candidates,sigma2_corr,tau_corr,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
BLEND_opti,GHI,1.0,0.5,0,,,,,85.90809082668049,0.3011625409944208,-0.013200361354540356,0.20251824603319346,0.8826953518075831,0.8985683507223085,0.9317821266441897,0.9441300667175669,0.9248268480280216
ELM,GHI,1.0,0.5,27000,500.0,100.0,10.0,0.5,81.93395784527446,0.2872306752596248,0.007774457388068005,0.17710748798082154,0.8932974116988028,0.7858214580300767,0.8886776175653862,0.9398161584970531,0.871438411364172
Persistence_P,GHI,1.0,0.5,0,,,,,92.19761612736467,0.3232113306133664,-0.00017702986192479574,0.2253787882361987,0.8648903185111405,1.0,1.0,1.0,1.0
Persistence_Pcyclic,GHI,1.0,0.5,0,,,,,177.45745236742312,0.6221013266514307,-0.0007026967907461323,0.40588319508564813,0.4994637093521783,1.800893501389667,1.924750984041473,1.863463282488691,1.8630359226399438
BLEND_opti,GHI,1.0,1.0,0,,,,,109.99915854719877,0.38561706792154776,-0.030175619064385907,0.27078892374347596,0.8076793969734684,0.7661295024327393,0.8334047656055903,0.873532284600457,0.8243555175462621
ELM,GHI,1.0,1.0,27000,500.0,100.0,25.0,0.5,97.69723693806574,0.34249100220097123,0.009256110375218993,0.22340455868713183,0.8482908941967651,0.6320672981082434,0.7401996881253049,0.8158939485852289,0.7293869782729258
Persistence_P,GHI,1.0,1.0,0,,,,,131.9876764410728,0.46270081938077307,-0.004649158739229061,0.3534505888151061,0.7231058037122073,1.0,1.0,1.0,1.0
Persistence_Pcyclic,GHI,1.0,1.0,0,,,,,177.45745236742312,0.6221013266514307,-0.0007026967907461323,0.40588319508564813,0.4994637093521783,1.1483449396599255,1.3445001620787735,1.4162667220190994,1.3030372745859329
BLEND_opti,GHI,1.0,3.0,0,,,,,148.13446360359708,0.519305586219005,-0.060345186459728285,0.3623381292155159,0.6512137910104279,0.49141601513003885,0.5617202927247821,0.6202482581628485,0.5577948553392232
ELM,GHI,1.0,3.0,27000,500.0,100.0,25.0,0.5,125.29841276721942,0.43925069232040426,0.03206762426815086,0.31431872497488406,0.7504611178781126,0.4262903703850604,0.47512685019668843,0.5252353189468825,0.47555084650954377
Persistence_P,GHI,1.0,3.0,0,,,,,263.71570605902315,0.9244914113748096,-0.08682864406957685,0.737334799965023,-0.10539902606209695,1.0,1.0,1.0,1.0
Persistence_Pcyclic,GHI,1.0,3.0,0,,,,,177.45745236742312,0.6221013266514307,-0.0007026967907461323,0.40588319508564813,0.4994637093521783,0.5504734010993405,0.6729119589400023,0.7567213691959549,0.6600355764117659
BLEND_opti,GHI,1.0,6.0,0,,,,,167.37221133187538,0.5867461373138572,-0.08482846898782241,0.3995625260735266,0.5547398848413174,0.38682303280735225,0.44311407761542654,0.4889974139882874,0.4396448414703554
ELM,GHI,1.0,6.0,27000,500.0,100.0,25.0,0.5,140.16637865557044,0.4913723765909565,0.0408845424992676,0.35980876011847107,0.6877267435587295,0.3483367601747218,0.3710872617169584,0.3981911135808509,0.37253837849084376
Persistence_P,GHI,1.0,6.0,0,,,,,377.718108692398,1.3241423979833182,-0.38431115670782945,1.0329336471350168,-1.267684851716199,1.0,1.0,1.0,1.0
Persistence_Pcyclic,GHI,1.0,6.0,0,,,,,177.45745236742312,0.6221013266514307,-0.0007026967907461323,0.40588319508564813,0.4994637093521783,0.3929421761130745,0.4698145211564082,0.5226928797668852,0.46181652567878934
BLEND_opti,GHI,1.0,10.0,0,,,,,172.22107697604645,0.6037444978208466,-0.0953464227126212,0.4071408174770735,0.5285673169550817,0.38572596416726285,0.439497237916299,0.48250993506563566,0.4359110457163992
ELM,GHI,1.0,10.0,27000,500.0,100.0,25.0,0.5,141.95935092391085,0.49765788566315006,0.043139815333944904,0.36725636003443374,0.6796866083221305,0.3479393553529386,0.362271237196636,0.38360855182541537,0.36460638145832996
Persistence_P,GHI,1.0,10.0,0,,,,,391.859293115388,1.373716250603213,-0.8114672644413556,1.0555183091084956,-1.4406605843425382,1.0,1.0,1.0,1.0
Persistence_Pcyclic,GHI,1.0,10.0,0,,,,,177.45745236742312,0.6221013266514307,-0.0007026967907461323,0.40588319508564813,0.4994637093521783,0.38453449038554555,0.45286013496474226,0.49996181780831656,0.4457854810528681
