Method,LB_days,FH_hours,N_params,n_hidden,n_candidates,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
BLEND_est,1.0,0.5,0,,,1079.7195569982546,0.45222306808422646,-0.013958006679414638,0.21567280606645362,0.9234053281797169,0.9010516341046323,0.9236122041484193,0.9305459146977481,0.9184032509835999
ELM,1.0,0.5,27000,500.0,500.0,988.6458438952993,0.41407831679738133,0.02350529968627006,0.21235888716991444,0.9357818021189648,0.8872065319265823,0.8457060549508854,0.8560524265321366,0.8629883378032015
Persistence_P,1.0,0.5,0,,,1169.018287273248,0.48962439653033946,-0.000202838255709401,0.23935676703007805,0.9102118064538459,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,0.5,0,,,2298.3492310510946,0.9626263913237879,0.0004946001312384606,0.4292719016161306,0.6529367225316409,1.7934395878692138,1.9660507077370255,1.9380362370529507,1.8991755108863968
BLEND_est,1.0,1.0,0,,,1379.5958924227284,0.577821419593691,-0.03102405218374483,0.2826688677188027,0.8749509463751798,0.7457379969274747,0.8117734360602283,0.8484278302049555,0.8019797543975528
ELM,1.0,1.0,27000,500.0,100.0,1214.7203532582155,0.5087659674721198,0.024697188529145594,0.2711075956620463,0.9030541459815891,0.7152370084913663,0.7147583726746609,0.754276346687916,0.7280905759513144
Persistence_P,1.0,1.0,0,,,1699.4839091043764,0.7118013400364833,-0.0002546343014343119,0.3790458162027824,0.8102373493608153,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,1.0,0,,,2298.3492310510946,0.9626263913237879,0.0004946001312384606,0.4292719016161306,0.6529367225316409,1.1325066344657349,1.3523806955385171,1.42930300902989,1.3047301130113806
BLEND_est,1.0,3.0,0,,,1914.262005778584,0.8016772322882092,-0.07248236533433922,0.3828533195384559,0.7592623019037253,0.430404819652318,0.5326300366982039,0.5973333384536935,0.5201227316014051
ELM,1.0,3.0,27000,500.0,500.0,1659.3905117500024,0.6949391403733098,0.020659671886995204,0.38219998160882274,0.8191000072618466,0.429670335244256,0.4617138231349747,0.5044957193698607,0.4652932925830305
Persistence_P,1.0,3.0,0,,,3593.980575419995,1.5051295966292857,-0.0006037227097737813,0.8895191272433373,0.151419992754098,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,3.0,0,,,2298.479541437,0.9625843858823462,0.0004903766646746726,0.42926939093792327,0.652925561768714,0.4825859026418576,0.6395358831811154,0.727110200816252,0.6164106622130751
BLEND_est,1.0,6.0,0,,,2164.6707337700077,0.9063917007964565,-0.11472655185329651,0.42342404522758703,0.6921931801457761,0.2803883583005368,0.39287493930409373,0.46280672476990387,0.3786900074581781
ELM,1.0,6.0,5400,100.0,100.0,1935.7426684419866,0.8105348597279184,0.0077571535581148965,0.4585032834589046,0.7538556944567649,0.3036175776350833,0.35132584901168257,0.39354333191869867,0.34949558618848814
Persistence_P,1.0,6.0,0,,,5509.8213635217535,2.307074364177985,-0.0003613495671311006,1.5101341860054551,-0.994204004852417,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,6.0,0,,,2298.6764987692864,0.9625026424557859,0.0004911505510769234,0.4292689494737493,0.6529034809424423,0.2842588118670658,0.4171961933263158,0.4939210346380854,0.39845867994382234
BLEND_est,1.0,10.0,0,,,2224.046960960237,0.9310409142849441,-0.13441728801014097,0.43345356003188257,0.6751219366768868,0.22491139906083996,0.3473393146905546,0.422513907636583,0.33158820712932585
ELM,1.0,10.0,5400,100.0,500.0,1943.9240369283784,0.8137745490144059,0.01025052320784121,0.4643402987589488,0.7518061242063195,0.2409379824369694,0.3035912706203289,0.3504586401808911,0.29832929774606315
Persistence_P,1.0,10.0,0,,,6403.095955151652,2.6804939000769625,0.00041776343322513006,1.9272191709350872,-1.6928521010434827,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,10.0,0,,,2298.9392046557177,0.9623926547234581,0.000491150551076924,0.4292689494737491,0.6528737519211738,0.22274007852748148,0.35903556978653295,0.4401107555876496,0.3406288013005547
